,0,1
0,Zushi,Darlinghurst
1,YiFang Taiwan Fruit Tea,Chatswood
2,Top Juice,Wintergarden
3,Top Juice,Central Park
4,Sushi Rap,Regent Place
5,SumoSalad,Chippendale
6,SumoSalad,Broadway
7,SumoSalad,Australia Square
8,SumoSalad,Burwood
9,SumoSalad,Parramatta
10,SumoSalad,Chatswood
11,South Dowling Sandwiches,Alexandria
12,Song Tea,Kingsford
13,Sharetea,Auburn
14,Sharetea,Macquarie Center
15,Sexy Tea,Burwood
16,Royal Stacks,Chatswood
17,Roll'd,Chifley
18,Roll'd,MET Centre
19,Roll'd,Australia Square
20,Roll'd,Sydney Central Plaza
21,Roll'd,Bondi Junction
22,Roll'd,Gateway Sydney
23,Roll'd,O'Connell Street
24,Roll'd,Rowe Lane
25,Poked,Australia Square
26,Pasta Pantry,Chatswood
27,Pasta Pantry,Rose Bay
28,Pasta Pantry,MLC Centre
29,Pasta Pantry,Woollahra
30,Pasta Pantry,Sydney Central Plaza
31,Pasta Pantry,Barangaroo
32,PappaRich,Sydney CBD
33,PappaRich,Broadway
34,PappaRich,Westfield Pitt Street
35,PappaRich,Chatswood
36,New Shanghai,Westfield Sydney
37,Nama,Sydney
38,Mai Viet,Central Park
39,Mad Mex,Newtown
40,Love Dem Apples,Steam Mill Lane
41,LL Wine and Dine,Potts Point
42,Kusuka,Haymarket
43,Kurtosh,Crows Nest
44,Kurtosh,Surry Hills
45,Kurtosh,Randwick
46,Kurtosh,Darlinghurst
47,King Tea,Parramatta
48,King Tea,Chatswood
49,Indigo North,Crows Nest
50,IKU Wholefood,Rozelle
51,IKU Wholefood,Neutral Bay
52,IKU Wholefood,Waverley
53,IKU Wholefood,North Ryde
54,IKU Wholefood,MET Centre
55,IKU Wholefood,North Sydney
56,IKU Wholefood,Westfield Plaza
57,IKU Wholefood,MLC Centre
58,HongKong Kitchen,Ultimo
59,Great Aunty Three,Surry Hills
60,Gotcha,Haymarket
61,Gotcha,World Square Shopping Centre
62,Fishbowl,Surry Hills
63,Fishbowl,Darlinghurst
64,Fishbowl,Manly
65,Doughboy,Surry Hills
66,Din Tai Fung,Gateway
67,Delisse,MET Centre
68,Cream'd,Steam Mill Lane
69,Crafty Cuts,Sydney Central Plaza
70,Crafty Cuts,Bondi Junction
71,Cloud Thief,World Square
72,Cloud Thief,Sydney Westfield
73,Chir Chir Korean,Burwood
74,Caffe Cherry Beans,Chatswood
75,Burger Crave,Bondi Junction
76,Bibim Bowl and Rolls,Chatswood
77,Bao Dao,Eastwood
78,Banh You,Sydney
79,BL Burgers,Darlinghurst
80,At Tea,Chippendale
81,4 Ounces Burger,Rushcutters Bay
82,4 Ounces Burger,Leichhardt
83,4 Ounces Burger,Rydalmere
